iter	Passed	Remaining
654	39614	20865
655	39666	20800
656	39729	20741
657	39780	20676
658	39832	20611
659	39883	20545
660	39934	20480
661	39984	20414
662	40040	20352
663	40105	20294
664	40161	20231
665	40217	20169
666	40266	20103
667	40314	20036
668	40367	19972
669	40422	19909
670	40476	19846
671	40525	19780
672	40575	19715
673	40625	19649
674	40683	19588
675	40732	19522
676	40787	19460
677	40852	19401
678	40919	19344
679	40984	19286
680	41042	19225
681	41101	19164
682	41169	19108
683	41229	19047
684	41278	18982
685	41333	18919
686	41384	18855
687	41443	18794
688	41509	18736
689	41567	18675
690	41617	18610
691	41666	18545
692	41718	18481
693	41773	18418
694	41838	18360
695	41889	18296
696	41935	18230
697	41983	18164
698	42035	18101
699	42090	18038
700	42141	17974
701	42195	17911
702	42254	17851
703	42307	17788
704	42369	17729
705	42425	17667
706	42479	17604
707	42536	17543
708	42594	17482
709	42645	17418
710	42698	17355
711	42747	17291
712	42802	17229
713	42859	17167
714	42910	17104
715	42963	17041
716	43013	16977
717	43064	16914
718	43124	16853
719	43177	16791
720	43250	16736
721	43347	16690
722	43406	16630
